names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,-log10_padj
CDKN2D,3.3640761,-0.1976869,0.00076800351611286,0.0013662345412898663,0.0948954597148106,0.07401252716349227,2.8644747389822154
ZNF764,0.55067474,-0.19772892,0.5818566507121079,0.7337676876419256,0.017474411687516404,0.014444586475776556,0.13444141684797276
RGS1,-10.015189,-0.1979634,1.3071191495528553e-23,4.11620019139112e-23,0.47557081620155717,0.5577783459031063,22.385503511484377
KIAA2026,4.4880104,-0.19868469,7.189135173971924e-06,1.4103007031716086e-05,0.1566354649636952,0.12514380672376327,4.850688277554133
DPF3,-0.391963,-0.19869465,0.6950855577564534,0.842914331581274,0.0060799580089231035,0.00818100472964336,0.07421656204443608
THEMIS,-1.0739603,-0.19903329,0.28284047181688643,0.39156148043683225,0.025303997900446157,0.031190080531765307,0.40720003815731975
ZNF682,0.36916605,-0.19948584,0.7120039561233933,0.8580094576791146,0.011153879800542384,0.00913971622139844,0.06650792497738621
SUSD2,0.17397359,-0.1998872,0.8618862150877431,0.9684586278566523,0.006889161053276179,0.005944011248881503,0.013918927425346488
CYTH1,0.30242965,-0.19988804,0.7623245631143847,0.9004511150139554,0.219731432070685,0.20912693340150837,0.04553985980832582
NAAA,2.102821,-0.20014457,0.03548141560302478,0.055446852593957596,0.12494532411862479,0.10961268055733095,1.2561231012708434
C2-AS1,0.023272425,-0.20017853,0.981432967826597,0.9979179206335086,0.0006998512816026594,0.0005752268950530487,0.0009051782335539927
IFI16,-4.5830193,-0.20037283,4.583098593768594e-06,9.076322322798811e-06,0.25303997900446157,0.27431931484085387,5.042090089635128
SNHG9,4.1091805,-0.20044655,3.970659247686209e-05,7.542007796947787e-05,0.17771848482197533,0.1469385146363288,4.122513022955372
GPR171,-3.1332917,-0.2005644,0.001728575343392569,0.0029945403891335222,0.072106552357624,0.09011888022497763,2.523669824954284
TBX6,0.3464473,-0.20059916,0.7290066020103267,0.8722417712452006,0.005314495669670195,0.003451361370318292,0.059363119007578055
LINC00958,0.11652315,-0.20062312,0.9072379442082603,0.9868846350328445,0.0019027206718572303,0.001278281989006775,0.005733612575513262
FGF18,1.6613209,-0.2006998,0.09664900253673028,0.14412382411396507,0.024954072259644824,0.015850696663684008,0.8412642230304594
RPP38-DT,0.29918775,-0.20073289,0.7647967887994305,0.9022671549663298,0.005380106727320444,0.003770931867569986,0.04466485187151776
CCR6,-2.3207054,-0.20167758,0.020302751120423627,0.032402426676251136,0.07790219578339602,0.09082193531893136,1.489422463477329
UBE2S,1.3739568,-0.20201313,0.16945508267320708,0.24418919081026072,0.36138570553757327,0.322830116323661,0.612273564286942
PGBD2,0.83606243,-0.20203742,0.4031197783077227,0.5377495340012387,0.024472924503542996,0.01981337082960501,0.2694199572878328
COL4A1,-4.4522786,-0.20223022,8.496384458473573e-06,1.661707521258164e-05,0.062461726883037354,0.08679534705356001,4.779445414415699
PRRX2,0.14660713,-0.20227307,0.8834421293046968,0.9780732018400358,0.011110139095442218,0.010290170011504538,0.009628640135208573
LGALS1,-11.474365,-0.20294668,1.7747577364323058e-30,6.34474982877201e-30,0.5353862304260345,0.6085261408666752,29.197585497308566
GPBP1,-6.214788,-0.20311871,5.139402143805479e-10,1.1743459960034729e-09,0.5173869302773161,0.5072862073373386,8.930203928627732
ZC3H10,0.57856977,-0.20323676,0.5628795023601332,0.7142305465269356,0.014346951272854519,0.01118496740380928,0.1461615796481398
SIK1,0.9862889,-0.20346494,0.3239913627966501,0.4430883052383776,0.034664508791881724,0.029080915249904127,0.3535097124767738
KIAA0513,-0.7249714,-0.20353322,0.4684695501679287,0.6126221190856199,0.026135071297349315,0.02997571264220887,0.2128073267860431
SYTL1,-1.3999993,-0.20366639,0.16151352339863323,0.23332253739850514,0.13343102090805703,0.1388853381055861,0.6320433092342341
SHISA9,1.2230748,-0.2038931,0.2213014532811466,0.31243294466867977,0.011438194383693465,0.004857471558225745,0.5052431779527139
GNAS-AS1,0.11470746,-0.2039833,0.9086769994075652,0.9873854679079199,0.0015090543259557343,0.0008947973923047424,0.005513268906890792
MED19,5.685193,-0.20452665,1.3066505123572538e-08,2.8524917032854657e-08,0.21435132534336454,0.1697558481400997,7.544775610090319
NDUFB2-AS1,0.5495565,-0.20455003,0.5826236084275995,0.7346818522438536,0.01154754614644388,0.008564489326345391,0.13390068775558892
OFD1,3.971096,-0.20461883,7.15426956176437e-05,0.00013415503221378698,0.27528212754789605,0.23335037709318676,3.8723930321110127
SYNGAP1,0.9884873,-0.20484678,0.32291406241532083,0.4417187272516497,0.03214941824862217,0.026524351271890578,0.3548541878603715
RGS14,1.8832948,-0.20490408,0.059660417321000456,0.09102498917257872,0.09119937013384656,0.07906174102006902,1.0408393640533387
MTMR9,0.14322042,-0.20505986,0.8861160958006444,0.9790914464265715,0.07711486309159303,0.0752268950530487,0.009176743514807986
C3orf35,0.16267903,-0.20519005,0.8707711580493497,0.9723490038778159,0.0033024232350625494,0.0024287357791128723,0.012177826376651194
METTL25,1.2112321,-0.20536676,0.22580647813225663,0.31843288235117084,0.029459364884961946,0.022689505304870253,0.4969820920452048
GPATCH8,3.1868675,-0.20601122,0.0014382266271313292,0.0025067096371320283,0.20514390691977955,0.17691422727853764,2.600895969310452
TRA2A,1.9807084,-0.20611489,0.04762398544174346,0.0734497395526748,0.36991514303210565,0.3243001406110188,1.134009739846995
SPRYD3,3.3641422,-0.20612621,0.0007678194980720678,0.001366046278087281,0.08225439594086256,0.06199667646682858,2.8645345876402137
GPR161,1.0855134,-0.2063909,0.27769433439111146,0.38513913758411594,0.019814539410375295,0.013869359580723507,0.41438234641709404
ZNF416,0.5543819,-0.20646597,0.5793174895173828,0.7313046141154765,0.009579214416936401,0.0065831522433848905,0.1359016864163533
MIR3681HG,0.033001725,-0.20648085,0.973673211909286,0.9972701944349794,0.0010716472749540723,0.0008947973923047424,0.001187160590569278
SAMD9,-0.7682543,-0.20657879,0.44233612931468647,0.5828534968894251,0.08431020908057038,0.08756231624696408,0.23444059359111563
DDX47,0.44383335,-0.20671417,0.6571630819470256,0.8086558814408004,0.00872627066748316,0.006327495845583535,0.09223625043393335
LINC00664,0.022021364,-0.20688544,0.98243091284139,0.9979179206335086,0.00043740705100166216,0.00031957049725169374,0.0009051782335539927
