gene,importance,rank
ATP5F1E,0.0019407635533885965,79
ALDOA,0.0019370407508379928,80
CXCL13,0.0019064470471347808,81
PERP,0.0018982491294577586,82
PRSS3,0.001883354547340144,83
TPI1,0.0018594053214484616,84
FERMT1,0.0018537452411557928,85
HMGA1,0.0018338325580487833,86
GUCA2A,0.0018258959736398462,87
PCBD1,0.0018183644474766769,88
RAB25,0.0017840316359846306,89
EEF1A1,0.001774659986421346,90
CDH17,0.0017683562129159618,91
SFN,0.0017660770288050413,92
S100A9,0.001758056512829242,93
DSG2,0.001730430493727246,94
C15orf48,0.0017289778001098196,95
POMP,0.0017272757923126635,96
ITM2C,0.0017033693617504741,97
ZFP36L2,0.001696721016038408,98
C4orf48,0.0016907156315651621,99
TSC22D3,0.0016726874337478048,100
NQO1,0.0016264890811587044,101
ANXA3,0.001623028815894905,102
GPX1,0.001560186135462729,103
MZB1,0.0015352064388989505,104
CSTB,0.0015330881985131202,105
REG4,0.0015208905539535098,106
MIR4435-2HG,0.0015198313064441061,107
RPLP2,0.0015161812313951577,108
SPINK2,0.0015131759850529397,109
CLDN7,0.0014906710640287977,110
TMSB4X,0.001487024501083116,111
JUNB,0.0014860954731718266,112
VIM,0.0014815481952784944,113
PLAUR,0.0014737831912165495,114
TFF1,0.0014567254589582784,115
TNFRSF12A,0.00145022856065058,116
SPINK1,0.0014419074272147803,117
HLA-DRA,0.0014358553207036945,118
RPL3,0.0014271050801571393,119
DPEP1,0.0013767825121132884,120
YPEL5,0.0013487832054600508,121
IRF1,0.0013461356959313614,122
CEACAM6,0.001340476906384823,123
PKM,0.0013357234383933104,124
PPIA,0.0012840774707870814,125
AP2S1,0.0012830849575645622,126
ADAMDEC1,0.0012775960094909599,127
ITGB1,0.001243594298406823,128
SELENOP,0.0012422031729581438,129
MIF,0.0012387881502113343,130
FHL2,0.001220292000324142,131
CACYBP,0.0012170100276681596,132
HSPA1A,0.00120440402798198,133
SOX9,0.0011932263358145532,134
SPARCL1,0.0011928229921876904,135
TMC5,0.0011928149803726766,136
ENO1,0.0011879118179488387,137
RBM47,0.0011860463670407438,138
TNFRSF17,0.0011784237199054819,139
MALAT1,0.0011778074411932622,140
MTCO2P12,0.0011656352177445983,141
RPS20,0.0011606609185146205,142
TKT,0.0011554825426289695,143
RPL9,0.0011469266079559006,144
PSMA7,0.0011332357894763714,145
GGCT,0.001132013156291089,146
VDAC1,0.0011307508389259411,147
NR4A2,0.001120636028947778,148
S100A16,0.001119399606691068,149
JUN,0.0011174572514505306,150
OCIAD2,0.0011155881738571162,151
CXADR,0.0011142856182606185,152
CYTOR,0.001107703172860265,153
DCN,0.0011002886274842417,154
RPL28,0.0010830583413453162,155
PAICS,0.001081019498748813,156
PSME2,0.001074811026190597,157
TCF21,0.0010737385922138904,158
SOCS3,0.0010720707830366414,159
EPHA2,0.0010684880728924584,160
LAD1,0.001062603562202784,161
BATF,0.001055781943287505,162
CXCL12,0.0010536118277467302,163
INHBA,0.0010446684421887647,164
IL1RN,0.0010437388689553263,165
LGALS4,0.001030469485201258,166
GDF15,0.0010235276561714121,167
NUDT14,0.0010227471036561152,168
SPINT2,0.0010175624939927639,169
DNPH1,0.001015283576659235,170
ERBB3,0.0010151186352369737,171
RPL41,0.001014113403685485,172
ARPC2,0.0010103928802566548,173
SRPK1,0.001006043418924935,174
EIF1,0.0009935768024334983,175
PLAC9,0.0009933436437652098,176
RAC1,0.000983140603594265,177
BAIAP2L1,0.0009753170895822037,178
GADD45B,0.0009739137389343446,179
SERTAD1,0.0009699825953050473,180
COX5B,0.0009699006097933544,181
HBEGF,0.000967486460470314,182
RPS3A,0.0009653693540364427,183
MGST1,0.0009603417429531304,184
ETHE1,0.0009569489268299922,185
FTL,0.000948187851024106,186
ATP6V1F,0.0009372946150243885,187
ACTG1,0.0009370571055048175,188
RPS27,0.0009279075710391935,189
RPS27A,0.0009263091181597974,190
FXYD1,0.0009233752838090429,191
TYROBP,0.0009163847691380476,192
CCL4,0.0009161925376132714,193
S100A8,0.0009108062636826885,194
CCL2,0.0009072238424831867,195
ABHD11,0.0008952719378113696,196
HLA-DRB1,0.0008931028466099443,197
PRELID1,0.0008919941711066924,198
PRDX5,0.0008810739060141389,199
EFEMP1,0.0008740676477409024,200
IFITM3,0.0008719622778097384,201
HSPB1,0.0008644264969440535,202
AP1S1,0.0008587394827159693,203
ADH1C,0.0008547080987987791,204
COA6,0.0008522068415531092,205
ATP5MC3,0.0008512695254675736,206
TPT1,0.0008463932059486759,207
AP1M2,0.0008458326569928661,208
IL32,0.0008438978672496426,209
MT1E,0.0008433385427103615,210
HLA-DPB1,0.0008416335066111752,211
TNFRSF18,0.0008407797272874131,212
GNG7,0.0008396543912558322,213
RPL30,0.0008362781145321828,214
MT1G,0.0008327291532970298,215
CD74,0.0008304892727036788,216
HSPA6,0.0008286338286445581,217
CARD16,0.0008270324226936408,218
COX7A2,0.0008248240775665958,219
RPL12,0.0008234644954246197,220
SOX4,0.0008232273664073696,221
GPX3,0.0008181163100647918,222
COX8A,0.000815237936341089,223
HSP90AA1,0.0008125830149264898,224
FXYD5,0.0008080022823580028,225
RPS15,0.0008050764283051567,226
SUB1,0.0008047460404158466,227
CFLAR,0.0008033470528140713,228
IGFBP6,0.0008031445929243264,229
FHL1,0.000802632935398605,230
NKG7,0.0008015498458757285,231
ASS1,0.0007981795545518699,232
CTNND1,0.0007951798641259391,233
RPS23,0.0007943577976756516,234
MFAP4,0.0007891176772855322,235
PABPC1,0.0007801187296575447,236
ADH1B,0.0007769585401653993,237
BRI3,0.0007765530203185114,238
SOD2,0.0007716599680804901,239
MATN2,0.0007654463165592293,240
LGALS3,0.0007586863834786262,241
PLEK2,0.0007536477367442276,242
RPL34,0.0007476357587116113,243
ATP5MPL,0.0007469513044831569,244
RPL39,0.0007468837830874283,245
CDX1,0.000744615264440441,246
MTRNR2L12,0.0007371493863516134,247
SUMO2,0.0007297140288426754,248
CLDN3,0.0007242939776969127,249
FCER1G,0.000722070918726626,250
PPA1,0.000713474327471726,251
EHF,0.0007132144272466079,252
